league_chat.feedback	Feedback & Comments	反馈与建议
league_chat.spanish	Spanish League	西班牙联赛
league_chat.others	Other Competitions	其他比赛
league_chat.italian	Italian League	意大利联赛
league_chat.facebook	Like us on Facebook	在Facebook上给我们点个赞
league_chat.uefa	Uefa Leagues	欧洲足协赛事
league_chat.german	German League	德国联赛
league_chat.english	English League	英格兰联赛
share_type_SMS	SMS	短信分享
push_notification.receive	You will receive:	你会收到:
push_notification.prediction_summary	. Predictions' summary	预测汇总
push_notification.match_result	. Match results	比赛规则
push_notification.question_competition	Do you want to receive push notification for this competition?	是否开启本场比赛的信息推送
push_notification.question_prediction	Do you want to receive push notification for all your predictions?	是否开启所有预测的信息推送
push_notification.points_won	. Points won or lost	得失分汇总
push_notification.new_participant	. New participant alert	新加入用户通知
enter_email	Please enter your email address.	请输入邮箱地址
match_center.played	Played %d out of %d	已押 %d 共 %d
match_center.just_now	Just Now	刚刚发布
match_center.prediction_made	Prediction made	已预测
match_center.title_meetings	Last Meetings	历史交战记录
match_center.share_title		
match_center.less	less	合并内容
match_center.make_prediction	Make a prediction!	点击开始预测！
match_center.share_body		
match_center.write_discussion	Write a new discussion...	创建新的话题
match_center.load_comments	Load more comments...	加载更多评论
match_center.write_comment	Write a comment...	评论一下
match_center.title	Match Center	比赛中心
match_center.time_hours	%d hrs	%d 小时
match_center.title_discussion	Discussion	讨论
match_center.more	More	更多内容
match_center.time_days	%d days	%d 天
match_center.time_minutes	%d mins	%d 分
button.ok	OK	是
button.cancel	Cancel	取消
button.yes	Yes	是
button.register	Register	注册
button.enable	Enable	允许
button.rate_now	Rate now	去给Football评分！
button.create	Create!	创建！
button.forget_password	Forgot Password?	忘记密码？
button.confirm	Confirm!	确认！
button.sign_in	Sign In	登陆
button.share	Share	分享
button.join	Join	加入
button.play_now	Play Now!	开始游戏！
button.no	No	否
button.no_thanks	No, thanks.	否
button.go	Go!	开始！
share_type_facebook	Facebook	Facebook
today	Today	今日
spinWheel.ticket_usage	for the latest lucky draw.	最新兑换券抽取
spinWheel.winners	Past Winners	胜者记录
spinWheel.collect_email_you_won	You have won	你赢得了
spinWheel.wheel_title	Spin-the-Wheel	超级转转转
spinWheel.ticket_balance_2	%d tickets	%d 张兑换券
spinWheel.win_ticket_left	left till draw.	剩余
spinWheel.spin_daily	One spin daily	每日一次转盘次数
spinWheel.balance_title	Balance	我的积分
spinWheel.wheel_sub_title	Spin-the-Wheel!	超级转转转！
spinWheel.win_ticket_prize	Luck Draw Ticket	幸运兑换券
spinWheel.share_description	Share with your friends and get an additiaonal spin.	分享给朋友获取更多转盘次数！
spinWheel.spin_bonus	BONUS SPIN	奖励旋转次数
spinWheel.collect_email_towards_wallet	towards your account balance	根据账户余额
spinWheel.money_balance	US$ %s Amazon Gift Card	%s 美元亚马逊礼品卡
spinWheel.collect_email_prize	1 US Dollar	1 美元
spinWheel.won	WON	胜
spinWheel.collect_email_label_title	Claim Prize	奖品发放
spinWheel.ticket_balance_1	%d ticket	%d 张兑换券
spinWheel.ticket_you_have	You have	你拥有
spinWheel.leave_message	Come back tomorrow for another spin.	明天可以拥有更多转盘次数！
spinWheel.money_payout_limit	Minimum US$25.00 for withdrawal.	提现的最少金额量为25美元
spinWheel.money_payout_success_notification	Your request has been processed. Please allow 2 - 4 weeks to receive the gift card via your email address.	请求已处理！你会在接下来的2至4周内通过邮件的方式收到礼品卡！
spinWheel.claimVirtualPrize	Congratulations! You have won a %s. Please contact our support.	恭喜！您赢得了一个 %s. 请联系客户服务邮箱！
spinWheel.no_one_won	No one has won any prize yet.	暂无玩家获奖
spinWheel.come_back_in	Come back in:	下一次游戏时间：
spinWheel.collect_email_description	Please submit a valid email address. Fake email addresses will be disqualified from prizes.	请提交正确的邮箱地址，不合法的邮箱地址会导致您失去获奖机会。
facebook_signin	Sign in with Facebook	Facebook账号登陆
marketing_message_3	Who will rise to the top?	谁会成为预测第一人？
share_type_title	Share your competition using...	通过以下方式分享比赛给你的朋友
share_type_email	Email	邮件分享
serverError.COMPETITION_6	No stats data for this year/month/week combination found.	日期数据未找到！
serverError.COUPON_3	No predictions on coupon. Cannot place empty coupon.	No predictions on coupon. Cannot place empty coupon.
serverError.FACEBOOK_2	Oops! You are not connected to Facebook.	您还未连接到Facebook！
serverError.DEFAULT	Oops! Please try again...	抱歉请重试！
serverError.COUPON_1	Stake not allowed.	押分数量不合法！
serverError.LEADERBOARD_2	Oops! Please try again.	抱歉请重试！
